escenario,ejecucion_id,timestamp,detector,usuarios,duracion_s,radio_km,ventana_min,presupuesto_total_ms,tamano_dataset,semilla
A,entrega_rep1,2026-09-24T04:35:36.568121+00:00,real,10,20,50.0,60,1000,200,20260923
A,entrega_rep2,2026-09-24T04:36:05.571228+00:00,real,10,20,50.0,60,1000,200,20260923
A,entrega_rep3,2026-09-24T04:36:34.616677+00:00,real,10,20,50.0,60,1000,200,20260923
B,entrega_rep1,2026-09-24T04:37:03.744121+00:00,real,10,20,50.0,60,1000,200,20260923
B,entrega_rep2,2026-09-24T04:37:33.209390+00:00,real,10,20,50.0,60,1000,200,20260923
B,entrega_rep3,2026-09-24T04:38:04.052093+00:00,real,10,20,50.0,60,1000,200,20260923
C,entrega_rep1,2026-09-24T04:38:33.522769+00:00,real,10,20,50.0,60,1000,200,20260923
C,entrega_rep2,2026-09-24T04:39:02.860507+00:00,real,10,20,50.0,60,1000,200,20260923
C,entrega_rep3,2026-09-24T04:39:32.171895+00:00,real,10,20,50.0,60,1000,200,20260923
D,entrega_rep1,2026-09-24T04:40:01.929470+00:00,real,10,20,50.0,60,1000,200,20260923
D,entrega_rep2,2026-09-24T04:40:31.729051+00:00,real,10,20,50.0,60,1000,200,20260923
D,entrega_rep3,2026-09-24T04:41:03.049739+00:00,real,10,20,50.0,60,1000,200,20260923
E,entrega_rep1,2026-09-24T04:41:33.061950+00:00,real,10,20,50.0,60,1000,200,20260923
E,entrega_rep2,2026-09-24T04:42:02.512439+00:00,real,10,20,50.0,60,1000,200,20260923
E,entrega_rep3,2026-09-24T04:42:32.179279+00:00,real,10,20,50.0,60,1000,200,20260923
