escenario,ejecucion_id,decisiones,vp,fn,fp,vn,tasa_deteccion_pct,tasa_falsos_positivos_pct,tasa_falsos_negativos_pct,precision_pct,exactitud_pct
A,entrega_rep1,623.0,0.0,0.0,0.0,623.0,,0.0,,,100.0
A,entrega_rep2,630.0,0.0,0.0,0.0,630.0,,0.0,,,100.0
A,entrega_rep3,633.0,0.0,0.0,0.0,633.0,,0.0,,,100.0
B,entrega_rep1,618.0,618.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
B,entrega_rep2,624.0,624.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
B,entrega_rep3,609.0,609.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
C,entrega_rep1,635.0,635.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
C,entrega_rep2,628.0,628.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
C,entrega_rep3,631.0,631.0,0.0,0.0,0.0,100.0,,0.0,100.0,100.0
D,entrega_rep1,625.0,285.0,0.0,0.0,340.0,100.0,0.0,0.0,100.0,100.0
D,entrega_rep2,621.0,290.0,0.0,0.0,331.0,100.0,0.0,0.0,100.0,100.0
D,entrega_rep3,592.0,274.0,0.0,0.0,318.0,100.0,0.0,0.0,100.0,100.0
E,entrega_rep1,620.0,489.0,0.0,0.0,131.0,100.0,0.0,0.0,100.0,100.0
E,entrega_rep2,607.0,494.0,0.0,0.0,113.0,100.0,0.0,0.0,100.0,100.0
E,entrega_rep3,587.0,486.0,0.0,0.0,101.0,100.0,0.0,0.0,100.0,100.0
