escenario,poblacion,peticiones,latencia_n,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,latencia_max_ms,latencia_media_ms,peticiones_conmutadas,conmutaciones_bajo_1s,pct_conmutaciones_bajo_1s,conmutacion_p50_ms,conmutacion_p95_ms,conmutacion_max_ms,pct_del_escenario
A,NORMAL,2337,2337.0,498.3238340009848,646.5015759993548,700.4316871203628,772.2095830013131,467.7011997026149,0.0,0.0,,,,,100.0
B,CIRCUITO_ABIERTO,5158,5158.0,0.7092705000104615,1.3824786001350713,2.303275560625481,712.8145430015138,3.3812804028636116,5158.0,5158.0,100.0,0.5896250004298054,1.239018799969925,6.105500000558095,94.65957056340612
B,NORMAL,154,154.0,94.77627099931851,154.05774999981074,186.8172935293296,195.05391699931351,96.77303251946678,0.0,0.0,,,,,2.8262066434208113
B,TRIGGER,137,137.0,589.1834590001963,706.7821421998815,710.0721400006296,711.1400419998972,556.8465182627965,137.0,137.0,100.0,3.034082999874954,5.437975600216304,6.404333000318729,2.514222793173059
C,CIRCUITO_ABIERTO,5624,5624.0,0.6829374997323612,1.3077080495349942,2.1058131786594423,36.72316700067313,0.8439771964808312,5624.0,5624.0,100.0,0.5621875006909249,1.171606249317847,5.328457998984959,97.14976679910174
C,NORMAL,146,146.0,90.50743749958201,162.57704224972258,177.5375669998539,179.8487500000192,94.50606851367236,0.0,0.0,,,,,2.5220245292796686
C,TRIGGER,19,19.0,15.524958000241895,26.433778600585345,30.291989319339336,31.25654199902783,15.49086836836834,19.0,19.0,100.0,0.867833001393592,1.7584208000698702,2.03108299865562,0.32820867161858697
D,CIRCUITO_ABIERTO,613,613.0,0.7125000011001248,1.7002412001602345,2.6594039196061203,4.94283300031384,0.8317090750606024,613.0,613.0,100.0,0.5905419984628679,1.6335004002030467,4.817125000045053,79.81770833333334
D,NORMAL,152,152.0,87.9477920007048,159.5813251508843,182.29672874902468,196.02745799966215,94.45703103289672,0.0,0.0,,,,,19.791666666666664
D,TRIGGER,3,3.0,34.335207999902195,36.01517140014039,36.16450148016156,36.201834000166855,32.45691700006622,3.0,3.0,100.0,0.48887499906413723,0.6326130986053613,0.6485839985543862,0.390625
E,CIRCUITO_ABIERTO,777,777.0,0.7058749997668201,1.388208598655182,1.8932930805749493,110.46754200106079,1.1680181312915345,774.0,774.0,100.0,0.5860414994458552,1.2450204003471297,2.3991250000108266,28.162377673069955
E,NORMAL,1979,1979.0,504.0372509993176,652.5063836985281,723.7948377193244,802.3202090007544,481.74338283475953,0.0,0.0,,,,,71.72888727799928
E,TRIGGER,3,3.0,31.44212500046706,37.99401250107621,38.57640250113036,38.7220000011439,29.885305667145683,3.0,3.0,100.0,0.5724999991798541,0.6152877993372385,0.6200419993547257,0.10873504893077202
F,CIRCUITO_ABIERTO,5626,5626.0,0.7428539993270533,1.3502394995157374,2.1380417488217063,37.99612500006333,0.8386506018516023,5626.0,5626.0,100.0,0.6072295000194572,1.1866150002788345,19.067208999331342,97.18431508032475
F,NORMAL,149,149.0,91.11445800044748,154.17595860017173,189.37633347988597,195.88158300030045,94.38265165098584,0.0,0.0,,,,,2.573846951114182
F,TRIGGER,14,14.0,11.375228999895626,28.15934834979998,32.753569670094286,33.90212500016787,12.831217357156024,14.0,14.0,100.0,0.9108545000344748,2.511764699647756,2.599542000098154,0.24183796856106407
G,NORMAL,4642,4642.0,3779.3818350000947,4005.6904519987256,4116.818121720335,4291.286335001132,3565.2571044043457,0.0,0.0,,,,,100.0
