escenario,ejecucion_id,total_peticiones,exitosos,degradados,fallidos,disponibilidad_pct,tasa_errores_pct,cumple_meta_disponibilidad,peticiones_conmutadas,conmutaciones_bajo_1s,pct_conmutaciones_bajo_1s,conmutacion_p50_ms,conmutacion_p95_ms,conmutacion_max_ms,cache_hits,cache_misses,consultas_cache,cache_hit_rate_pct,latencia_n,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,latencia_max_ms,latencia_media_ms,cumple_meta_conmutacion
A,run1_rep1,773,773,0,0,100.0,0.0,True,0.0,0.0,,,,,0.0,0.0,0.0,,773.0,502.3050840009091,648.0958248001115,699.2749737604026,729.4972500003496,470.88322229755875,
A,run1_rep2,782,782,0,0,100.0,0.0,True,0.0,0.0,,,,,0.0,0.0,0.0,,782.0,498.36860449977394,649.9204576996816,702.484959769863,772.2095830013131,469.5308665665213,
A,run1_rep3,782,782,0,0,100.0,0.0,True,0.0,0.0,,,,,0.0,0.0,0.0,,782.0,494.3573130012737,641.0249440987172,689.951279769666,765.7517509996978,462.7261319871843,
B,run1_rep1,1824,53,1771,0,100.0,0.0,True,1771.0,1771.0,100.0,0.59966600019834,1.4904790004948154,6.333792000077665,1771.0,0.0,1771.0,100.0,1824.0,0.7318335001400555,80.74081249942486,645.9877017494546,710.0401669995335,20.492948644188576,True
B,run1_rep2,1805,49,1756,0,100.0,0.0,True,1756.0,1756.0,100.0,0.6027500003256137,1.5009272497081838,6.404333000318729,1756.0,0.0,1756.0,100.0,1805.0,0.7328749998123385,71.37741640071897,642.6906353202506,712.8145430015138,19.600648370076346,True
B,run1_rep3,1820,52,1768,0,100.0,0.0,True,1768.0,1768.0,100.0,0.5861665013071615,1.4459747996625072,5.22787499903643,1768.0,0.0,1768.0,100.0,1820.0,0.7155835000958177,73.24215205089784,656.1776532302065,712.6117919997341,19.71063499614492,True
C,run1_rep1,1905,48,1857,0,100.0,0.0,True,1857.0,1857.0,100.0,0.562375000299653,1.1594079998758382,4.7509579999314155,1857.0,0.0,1857.0,100.0,1905.0,0.6894159996591043,1.7220585996255977,102.7044253196801,179.11616699893784,3.361791128595673,True
C,run1_rep2,1937,48,1889,0,100.0,0.0,True,1889.0,1889.0,100.0,0.5542079998122063,1.2130915998568523,5.328457998984959,1889.0,0.0,1889.0,100.0,1937.0,0.6848749999335269,1.789399999688607,97.19815799988277,179.8487500000192,3.2251657176098165,True
C,run1_rep3,1947,50,1897,0,100.0,0.0,True,1897.0,1897.0,100.0,0.5695410000043921,1.1440334008511848,3.7460000003193272,1897.0,0.0,1897.0,100.0,1947.0,0.6956670004001353,1.556920700022601,91.39593249983588,168.03033299947856,3.1779055778214627,True
D,run1_rep1,248,52,196,0,100.0,0.0,True,196.0,196.0,100.0,0.6441460000132793,2.0070110003871378,4.817125000045053,196.0,0.0,196.0,100.0,248.0,0.862666500324849,101.43261469956994,152.52541849078625,178.71562499931315,20.205151076652328,True
