escenario,ejecucion_id,peticiones_locust,fallos_locust,rps_promedio,latencia_externa_p50_ms,latencia_externa_p95_ms,latencia_externa_max_ms,latencia_interna_p50_ms,latencia_interna_p95_ms,peticiones_jsonl,overhead_p50_ms,overhead_p95_ms,diferencia_conteo
A,run1_rep1,708,0,11.961877860886498,520.0,660.0,737.3769170008018,502.3050840009091,648.0958248001115,773,17.69491599909088,11.904175199888527,-65
A,run1_rep2,716,0,12.102252743684744,520.0,660.0,779.4681660016067,498.36860449977394,649.9204576996816,782,21.631395500226063,10.079542300318394,-66
A,run1_rep3,717,0,12.117196330078396,510.0,650.0,774.201832999097,494.3573130012737,641.0249440987172,782,15.642686998726276,8.975055901282758,-65
B,run1_rep1,1744,0,29.50400094479065,8.0,14.0,722.7092079992872,0.7318335001400555,80.74081249942486,1824,7.2681664998599445,-66.74081249942486,-80
B,run1_rep2,1729,0,29.23702450220106,8.0,13.0,726.4447080015088,0.7328749998123385,71.37741640071897,1805,7.2671250001876615,-58.37741640071897,-76
B,run1_rep3,1747,0,29.52357133589466,8.0,13.0,729.8644170004991,0.7155835000958177,73.24215205089784,1820,7.284416499904182,-60.24215205089784,-73
C,run1_rep1,1836,0,31.05027457369602,7.0,11.0,45.49470799975097,0.6894159996591043,1.7220585996255977,1905,6.310584000340896,9.277941400374402,-69
C,run1_rep2,1864,0,31.528484265462136,7.0,12.0,44.80100000000675,0.6848749999335269,1.789399999688607,1937,6.315125000066473,10.210600000311393,-73
C,run1_rep3,1867,0,31.62737824881028,7.0,12.0,44.31820800164133,0.6956670004001353,1.556920700022601,1947,6.304332999599865,10.443079299977398,-80
D,run1_rep1,164,0,32.73836049251333,8.0,19.0,23.90395799739053,0.862666500324849,101.43261469956994,248,7.137333499675151,-82.43261469956994,-84
D,run1_rep2,175,0,34.90749601442786,8.0,20.0,24.31174999946961,0.8545624996258994,104.21670874939082,256,7.145437500374101,-84.21670874939082,-81
D,run1_rep3,180,0,36.149984845227394,7.0,21.0,25.655959001596784,0.7039584997983184,107.48381330013216,264,6.296041500201682,-86.48381330013216,-84
E,run1_rep1,852,0,14.409083005157528,460.0,660.0,810.998249999102,440.9663124997678,647.897468750125,918,19.03368750023219,12.102531249875028,-66
E,run1_rep2,859,0,14.52779699275964,470.0,650.0,754.1686250006023,452.32608349942893,635.0221819000581,922,17.673916500571067,14.977818099941942,-63
E,run1_rep3,854,0,14.436618939819006,480.0,650.0,784.063041999616,466.2800839996635,635.4769338986443,919,13.719916000336525,14.523066101355653,-65
F,run1_rep1,1879,1879,31.77475589237053,8.0,13.0,40.52304200013168,0.764625000556407,1.6057729005296988,1954,7.235374999443593,11.394227099470301,-75
F,run1_rep2,1861,1861,31.463744396200564,8.0,12.0,34.807333999197,0.7657920014025876,1.5447077999851893,1937,7.234207998597412,10.45529220001481,-76
F,run1_rep3,1825,1825,30.84864908463766,8.0,13.0,47.97125000186497,0.7318960006159614,1.8000875999859975,1898,7.268103999384039,11.199912400014002,-73
G,run1_rep1,1453,0,12.175430215273789,3800.0,4000.0,4227.990041003068,3776.8179169997893,3974.0309684009844,1549,23.182083000210696,25.96903159901558,-96
G,run1_rep2,1444,0,12.094025789958597,3800.0,4100.0,4300.349499997537,3800.736876000883,4046.9202100008256,1537,-0.7368760008830577,53.07978999917441,-93
G,run1_rep3,1458,0,12.21423199195011,3800.0,4000.0,4163.706583000021,3760.231417499199,3972.3757414994907,1556,39.76858250080113,27.624258500509313,-98
