Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788566940,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788566941,10,POST,/cotizar[D],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,41,0,9,11.53057119535799,5.213458000071114,24.311749999469612,112.0
1788566941,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,41,0,9,11.53057119535799,5.213458000071114,24.311749999469612,112.0
1788566942,10,POST,/cotizar[D],0.000000,0.000000,9,10,10,11,11,11,22,22,22,22,22,73,0,9,10.280844260506294,3.6602500003937166,24.311749999469612,112.0
1788566942,10,,Aggregated,0.000000,0.000000,9,10,10,11,11,11,22,22,22,22,22,73,0,9,10.280844260506294,3.6602500003937166,24.311749999469612,112.0
1788566943,10,POST,/cotizar[D],26.000000,0.000000,8,9,9,10,11,11,12,22,22,22,22,107,0,8,9.169732570328867,3.6602500003937166,24.311749999469612,112.0
1788566943,10,,Aggregated,26.000000,0.000000,8,9,9,10,11,11,12,22,22,22,22,107,0,8,9.169732570328867,3.6602500003937166,24.311749999469612,112.0
1788566944,10,POST,/cotizar[D],31.000000,0.000000,8,9,10,11,12,14,15,15,22,22,22,141,0,8,9.195167326452195,3.57974999860744,24.311749999469612,112.0
1788566944,10,,Aggregated,31.000000,0.000000,8,9,10,11,12,14,15,15,22,22,22,141,0,8,9.195167326452195,3.57974999860744,24.311749999469612,112.0
1788566945,10,POST,/cotizar[D],31.333333,0.000000,8,9,10,10,12,13,15,15,22,22,22,175,0,8,8.959759577306354,3.57974999860744,24.311749999469612,112.0
1788566945,10,,Aggregated,31.333333,0.000000,8,9,10,10,12,13,15,15,22,22,22,175,0,8,8.959759577306354,3.57974999860744,24.311749999469612,112.0
