Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788567560,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788567561,10,POST,/cotizar[G],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,11,0,540.0,510.4950721817493,117.7597500027332,898.5253339997143,119.0
1788567561,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,11,0,540.0,510.4950721817493,117.7597500027332,898.5253339997143,119.0
1788567562,20,POST,/cotizar[G],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,22,0,590.0,589.1118409998109,117.7597500027332,915.4232920009235,119.0
1788567562,20,,Aggregated,0.000000,0.000000,610,640,710,760,840,900,920,920,920,920,920,22,0,590.0,589.1118409998109,117.7597500027332,915.4232920009235,119.0
1788567563,30,POST,/cotizar[G],0.000000,0.000000,1000,1300,1400,1400,1400,1500,1500,1500,1500,1500,1500,34,0,710.0,843.3886741176512,117.7597500027332,1543.1507089997467,119.0
1788567563,30,,Aggregated,0.000000,0.000000,760,1000,1300,1300,1400,1500,1500,1500,1500,1500,1500,34,0,710.0,843.3886741176512,117.7597500027332,1543.1507089997467,119.0
1788567564,40,POST,/cotizar[G],5.500000,0.000000,1300,1400,1500,1500,1800,1900,2000,2000,2000,2000,2000,47,0,1100.0,1038.0183883404397,117.7597500027332,1980.9882500012463,119.0
1788567564,40,,Aggregated,5.500000,0.000000,1100,1300,1400,1400,1700,1800,2000,2000,2000,2000,2000,47,0,1100.0,1038.0183883404397,117.7597500027332,1980.9882500012463,119.0
1788567565,50,POST,/cotizar[G],7.666667,0.000000,1400,1700,2100,2100,2300,2300,2300,2300,2300,2300,2300,59,0,1300.0,1276.7819576779941,117.7597500027332,2327.9046249990643,119.0
1788567565,50,,Aggregated,7.666667,0.000000,1300,1500,1800,2100,2200,2300,2300,2300,2300,2300,2300,59,0,1300.0,1276.7819576779941,117.7597500027332,2327.9046249990643,119.0
1788567566,50,POST,/cotizar[G],8.750000,0.000000,1500,2100,2200,2300,2500,2800,2900,3000,3000,3000,3000,70,0,1400.0,1474.4571667001894,117.7597500027332,2959.4227080015116,119.0
1788567566,50,,Aggregated,8.750000,0.000000,1400,2000,2200,2300,2500,2700,2900,3000,3000,3000,3000,70,0,1400.0,1474.4571667001894,117.7597500027332,2959.4227080015116,119.0
1788567567,50,POST,/cotizar[G],9.400000,0.000000,2000,2300,2500,2800,3000,3100,3100,3100,3100,3100,3100,81,0,1500.0,1686.8219043458844,117.7597500027332,3099.848333000409,119.0
1788567567,50,,Aggregated,9.400000,0.000000,1500,2200,2300,2500,3000,3100,3100,3100,3100,3100,3100,81,0,1500.0,1686.8219043458844,117.7597500027332,3099.848333000409,119.0
1788567568,50,POST,/cotizar[G],9.833333,0.000000,2200,2600,3000,3100,3300,3600,3800,4000,4000,4000,4000,93,0,2000.0,1920.5857554088163,117.7597500027332,3950.3729159987415,119.0
1788567568,50,,Aggregated,9.833333,0.000000,2000,2300,2900,3000,3200,3600,3800,4000,4000,4000,4000,93,0,2000.0,1920.5857554088163,117.7597500027332,3950.3729159987415,119.0
1788567569,50,POST,/cotizar[G],10.000000,0.000000,2300,3000,3100,3400,3900,4000,4000,4000,4000,4000,4000,105,0,2200.0,2154.3275555716327,117.7597500027332,4048.4822079997684,119.0
1788567569,50,,Aggregated,10.000000,0.000000,2200,2900,3100,3300,3900,4000,4000,4000,4000,4000,4000,105,0,2200.0,2154.3275555716327,117.7597500027332,4048.4822079997684,119.0
1788567570,50,POST,/cotizar[G],10.250000,0.000000,2500,3100,3800,3900,4000,4000,4100,4100,4200,4200,4200,117,0,2300.0,2346.5194408976167,117.7597500027332,4192.3474590003025,119.0
1788567570,50,,Aggregated,10.250000,0.000000,2300,3100,3500,3900,4000,4000,4100,4100,4200,4200,4200,117,0,2300.0,2346.5194408976167,117.7597500027332,4192.3474590003025,119.0
1788567571,50,POST,/cotizar[G],10.333333,0.000000,2900,3600,3900,4000,4000,4000,4100,4100,4200,4200,4200,129,0,2500.0,2493.2972693877537,117.7597500027332,4192.3474590003025,119.0
1788567571,50,,Aggregated,10.333333,0.000000,2900,3600,3900,4000,4000,4000,4100,4100,4200,4200,4200,129,0,2500.0,2493.2972693877537,117.7597500027332,4192.3474590003025,119.0
1788567572,50,POST,/cotizar[G],10.500000,0.000000,3200,3900,3900,4000,4000,4100,4100,4100,4200,4200,4200,141,0,2900.0,2613.469618227101,117.7597500027332,4192.3474590003025,119.0
1788567572,50,,Aggregated,10.500000,0.000000,3200,3900,3900,4000,4000,4100,4100,4100,4200,4200,4200,141,0,2900.0,2613.469618227101,117.7597500027332,4192.3474590003025,119.0
1788567573,50,POST,/cotizar[G],11.700000,0.000000,3800,3900,3900,4000,4000,4100,4100,4100,4200,4200,4200,154,0,3100.0,2715.9700587338657,117.7597500027332,4192.3474590003025,119.0
1788567573,50,,Aggregated,11.700000,0.000000,3800,3900,3900,4000,4000,4100,4100,4100,4200,4200,4200,154,0,3100.0,2715.9700587338657,117.7597500027332,4192.3474590003025,119.0
